Cell	Cluster	CellType	NumofReads
SRR5354087	1	LMPP	22552
SRR5354088	1	LMPP	44526
SRR5354089	1	LMPP	29380
SRR5354090	1	LMPP	36360
SRR5354091	1	LMPP	5482
SRR5354092	1	LMPP	10830
SRR5354093	1	LMPP	18846
SRR5354094	1	LMPP	28884
SRR5354095	1	LMPP	16660
SRR5354096	1	LMPP	11976
SRR5354097	1	LMPP	16238
SRR5354098	1	LMPP	39356
SRR5354099	3	LMPP	22802
SRR5354100	1	LMPP	26404
SRR5354102	3	LMPP	130952
SRR5354103	2	LMPP	34748
SRR5354104	1	LMPP	32974
SRR5354105	1	LMPP	39994
SRR5354106	1	LMPP	70390
SRR5354107	1	LMPP	26000
SRR5354108	1	LMPP	33102
SRR5354109	1	LMPP	7202
SRR5354110	1	LMPP	13558
SRR5354111	1	LMPP	15610
SRR5354112	1	LMPP	25802
SRR5354113	1	LMPP	32454
SRR5354114	1	LMPP	20858
SRR5354115	1	LMPP	6992
SRR5354117	1	LMPP	8352
SRR5354118	3	LMPP	47016
SRR5354119	1	LMPP	24520
SRR5354120	1	LMPP	14120
SRR5354121	1	LMPP	14950
SRR5354122	1	LMPP	6076
SRR5354123	1	LMPP	23390
SRR5354124	1	LMPP	28360
SRR5354125	1	LMPP	11638
SRR5354126	1	LMPP	37082
SRR5354127	1	LMPP	6170
SRR5354128	1	LMPP	26100
SRR5354129	1	LMPP	26072
SRR5354130	1	LMPP	29620
SRR5354131	1	LMPP	35486
SRR5354132	1	LMPP	14526
SRR5354133	1	LMPP	35706
SRR5354134	1	LMPP	8770
SRR5354135	1	LMPP	37646
SRR5354136	1	LMPP	30114
SRR5354137	1	LMPP	36184
SRR5354138	1	LMPP	36480
SRR5354139	1	LMPP	10504
SRR5354140	1	LMPP	40532
SRR5354142	1	LMPP	115814
SRR5354143	1	LMPP	52024
SRR5354144	1	LMPP	7548
SRR5354145	4	CMP	8506
SRR5354146	4	CMP	11312
SRR5354147	4	CMP	14252
SRR5354148	4	CMP	14058
SRR5354149	4	CMP	14998
SRR5354150	1	CMP	5880
SRR5354151	3	CMP	102166
SRR5354152	4	CMP	7050
SRR5354153	4	CMP	21166
SRR5354154	4	CMP	10798
SRR5354156	4	CMP	13450
SRR5354157	1	CMP	5502
SRR5354158	4	CMP	19218
SRR5354159	4	CMP	20422
SRR5354160	4	CMP	21838
SRR5354162	1	CMP	29016
SRR5354163	4	CMP	9538
SRR5354164	4	CMP	6612
SRR5354165	4	CMP	10306
SRR5354166	1	CMP	15246
SRR5354167	1	CMP	33930
SRR5354168	4	CMP	9074
SRR5354169	4	CMP	25528
SRR5354170	3	CMP	32782
SRR5354171	3	CMP	29184
SRR5354172	4	CMP	24668
SRR5354173	4	CMP	5190
SRR5354174	4	CMP	22914
SRR5354175	4	CMP	16966
SRR5354176	1	CMP	18104
SRR5354177	1	CMP	9254
SRR5354178	1	CMP	7038
SRR5354179	4	CMP	21214
SRR5354180	1	CMP	9562
SRR5354181	4	CMP	16828
SRR5354182	1	CMP	115104
SRR5354183	4	CMP	25738
SRR5354184	1	CMP	46298
SRR5354186	4	CMP	21870
SRR5354187	1	CMP	20726
SRR5354188	4	CMP	10968
SRR5354189	4	CMP	13754
SRR5354190	4	CMP	36474
SRR5354193	1	CMP	4938
SRR5354194	1	CMP	6700
SRR5354195	4	CMP	5474
SRR5354196	1	CMP	18084
SRR5354197	3	CMP	11094
SRR5354199	4	CMP	24178
SRR5354200	3	CMP	12528
SRR5354201	1	CMP	10640
SRR5354202	4	CMP	17292
SRR5354203	4	CMP	19876
SRR5354204	1	CMP	65118
SRR5354205	1	CMP	29868
SRR5354206	1	CMP	8402
SRR5354207	1	CMP	159468
SRR5354208	1	CMP	99910
SRR5354209	4	CMP	10572
SRR5354210	3	CMP	9074
SRR5354211	1	CMP	29596
SRR5354212	4	CMP	6582
SRR5354213	1	CMP	23004
SRR5354214	4	CMP	12672
SRR5354215	4	CMP	58188
SRR5354216	1	CMP	20490
SRR5354217	4	CMP	101500
SRR5354218	4	CMP	20960
SRR5354219	1	CMP	28114
SRR5354220	1	CMP	20006
SRR5354221	4	CMP	20290
SRR5354222	4	CMP	19750
SRR5354223	1	CMP	5216
SRR5354224	3	CMP	5764
SRR5354225	4	CMP	74198
SRR5354226	4	CMP	5508
SRR5354227	1	CMP	18530
SRR5354228	3	CMP	15108
SRR5354229	4	CMP	41082
SRR5354230	1	CMP	26372
SRR5354231	1	CMP	9126
SRR5354232	4	CMP	7798
SRR5354233	4	CMP	4968
SRR5354234	4	CMP	5274
SRR5354235	4	CMP	20688
SRR5354236	4	CMP	24458
SRR5354237	1	CMP	143566
SRR5354238	4	CMP	146200
SRR5354239	1	CMP	18952
SRR5354240	4	CMP	334356
SRR5354241	4	CMP	82404
SRR5354242	4	CMP	17790
SRR5354243	4	CMP	6644
SRR5354244	4	CMP	14164
SRR5354246	4	CMP	15950
SRR5354247	4	CMP	57742
SRR5354248	4	CMP	29244
SRR5354249	4	CMP	100854
SRR5354250	1	CMP	30200
SRR5354251	1	CMP	29334
SRR5354252	1	CMP	15946
SRR5354253	1	CMP	25474
SRR5354254	4	CMP	10164
SRR5354255	4	CMP	16762
SRR5354256	4	CMP	245052
SRR5354257	4	CMP	5874
SRR5354258	1	CMP	25384
SRR5354259	4	CMP	75096
SRR5354260	4	CMP	9336
SRR5354261	4	CMP	60228
SRR5354262	4	CMP	34306
SRR5354263	1	CMP	71314
SRR5354264	1	CMP	23556
SRR5354265	1	CMP	38360
SRR5354266	4	CMP	20646
SRR5354267	1	CMP	23408
SRR5354268	4	CMP	49360
SRR5354269	4	CMP	16766
SRR5354270	3	CMP	35404
SRR5354271	1	CMP	22694
SRR5354272	1	CMP	26092
SRR5354273	1	CMP	28312
SRR5354274	4	CMP	62478
SRR5354275	4	CMP	22224
SRR5354276	4	CMP	330328
SRR5354277	4	CMP	82626
SRR5354278	4	CMP	33788
SRR5354279	4	CMP	14632
SRR5354280	4	CMP	28898
SRR5354281	1	CMP	17810
SRR5354282	4	CMP	37326
SRR5354283	4	CMP	12898
SRR5354284	4	CMP	37066
SRR5354285	4	CMP	42832
SRR5354286	4	CMP	14392
SRR5354287	4	CMP	41518
SRR5354288	4	CMP	211406
SRR5354289	1	CMP	18602
SRR5354290	4	CMP	26136
SRR5354291	4	CMP	24660
SRR5354292	4	CMP	46224
SRR5354293	4	CMP	17090
SRR5354294	4	CMP	43334
SRR5354295	1	CMP	34314
SRR5354296	4	CMP	6996
SRR5354297	4	CMP	15590
SRR5354298	4	CMP	6002
SRR5354299	4	CMP	31872
SRR5354300	4	CMP	42318
SRR5354301	1	CMP	7970
SRR5354302	4	CMP	27386
SRR5354303	4	CMP	20686
SRR5354304	3	CMP	23726
SRR5354305	4	CMP	19968
SRR5354306	4	CMP	25154
SRR5354307	4	CMP	45546
SRR5354308	1	CMP	53310
SRR5354309	4	CMP	480188
SRR5354310	1	CMP	22220
SRR5354311	1	CMP	56632
SRR5354312	1	CMP	20374
SRR5354313	4	CMP	47520
SRR5354314	4	CMP	16530
SRR5354315	1	CMP	35586
SRR5354316	1	CMP	26548
SRR5354317	4	CMP	5378
SRR5354318	4	CMP	20886
SRR5354319	4	CMP	16332
