Cell	Cluster	CellType	NumofReads
SRR1780448	4	K562	8922
SRR1780450	4	K562	7730
SRR1780452	4	K562	15938
SRR1780454	4	K562	17176
SRR1780456	4	K562	8324
SRR1780458	4	K562	47648
SRR1780460	4	K562	17476
SRR1780462	4	K562	10806
SRR1780466	4	K562	19564
SRR1780470	4	K562	22042
SRR1780472	4	K562	13264
SRR1780474	4	K562	13754
SRR1780478	4	K562	8766
SRR1780480	4	K562	14798
SRR1780482	4	K562	9538
SRR1780484	4	K562	5736
SRR1780494	4	K562	12064
SRR1780496	4	K562	8460
SRR1780498	4	K562	11794
SRR1780500	4	K562	11584
SRR1780502	4	K562	7870
SRR1780504	4	K562	11538
SRR1780506	4	K562	7526
SRR1780508	4	K562	5500
SRR1780510	4	K562	6802
SRR1780512	4	K562	7676
SRR1780514	4	K562	7866
SRR1780518	4	K562	17040
SRR1780520	4	K562	23698
SRR1780522	4	K562	4858
SRR1780528	4	K562	9374
SRR1780530	4	K562	6524
SRR1780534	4	K562	4830
SRR1780536	4	K562	7088
SRR1780538	4	K562	13842
SRR1780544	4	K562	5250
SRR1780550	4	K562	11106
SRR1780552	4	K562	10078
SRR1780556	4	K562	24556
SRR1780558	4	K562	6998
SRR1780560	4	K562	8854
SRR1780562	4	K562	6064
SRR1780564	4	K562	5466
SRR1780566	4	K562	3002
SRR1780568	4	K562	3934
SRR1780570	4	K562	13570
SRR1780572	4	K562	4714
SRR1780574	4	K562	5192
SRR1780580	4	K562	3142
SRR1780582	4	K562	5210
SRR1780584	4	K562	9358
SRR1780586	4	K562	2438
SRR1780590	4	K562	4342
SRR1780594	4	K562	11230
SRR1780596	4	K562	12680
SRR1780598	4	K562	12022
SRR1780602	4	K562	9298
SRR1780604	4	K562	16992
SRR1780614	4	K562	11562
SRR1780616	4	K562	6728
SRR1780618	4	K562	18424
SRR1780620	4	K562	18600
SRR1780622	2	K562	3628
SRR1780624	1	K562	16540
SRR1780626	1	K562	4858
SRR1780628	1	K562	13688
SRR1780630	1	K562	5776
SRR1780632	1	K562	3256
SRR1780634	1	K562	4746
SRR1780636	1	K562	7176
SRR1780638	1	K562	6380
SRR1780640	1	K562	5206
SRR1780642	1	K562	10672
SRR1780644	1	K562	15898
SRR1780646	1	K562	10038
SRR1780648	1	K562	22202
SRR1780650	1	K562	2426
SRR1780652	1	K562	11386
SRR1780654	1	K562	6268
SRR1780656	1	K562	3056
SRR1780664	1	K562	7364
SRR1780666	1	K562	19534
SRR1780668	1	K562	15544
SRR1780670	1	K562	17184
SRR1780672	1	K562	19760
SRR1780674	1	K562	3504
SRR1780676	1	K562	20338
SRR1780682	1	K562	17836
SRR1780684	1	K562	6558
SRR1780686	1	K562	6602
SRR1780688	1	K562	10062
SRR1780690	1	K562	9296
SRR1780692	1	K562	18470
SRR1780694	1	K562	10986
SRR1780696	1	K562	18064
SRR1780698	2	K562	5452
SRR1780700	2	K562	5580
SRR1780702	1	K562	3040
SRR1780704	1	K562	12024
SRR1780708	1	K562	3860
SRR1780712	1	K562	3830
SRR1780714	1	K562	16702
SRR1780718	1	K562	4708
SRR1780726	1	K562	4790
SRR1780730	2	K562	6724
SRR1780732	1	K562	3768
SRR1780736	1	K562	8948
SRR1780738	1	K562	21470
SRR1781027	1	TF1	31580
SRR1781028	1	TF1	26606
SRR1781029	1	TF1	136448
SRR1781030	1	TF1	60604
SRR1781031	1	TF1	73806
SRR1781032	1	TF1	7234
SRR1781033	1	TF1	29424
SRR1781034	1	TF1	116092
SRR1781035	1	TF1	5632
SRR1781036	1	TF1	40074
SRR1781037	1	TF1	19658
SRR1781038	1	TF1	10466
SRR1781039	1	TF1	53302
SRR1781040	1	TF1	17688
SRR1781041	1	TF1	48980
SRR1781042	1	TF1	52064
SRR1781043	1	TF1	25014
SRR1781044	1	TF1	51096
SRR1781045	1	TF1	10660
SRR1781046	1	TF1	18770
SRR1781047	1	TF1	3750
SRR1781048	1	TF1	62012
SRR1781049	1	TF1	52362
SRR1781050	1	TF1	56878
SRR1781051	3	TF1	6860
SRR1781052	1	TF1	70538
SRR1781053	1	TF1	75012
SRR1781054	1	TF1	29362
SRR1781055	1	TF1	72414
SRR1781056	1	TF1	81830
SRR1781057	1	TF1	19568
SRR1781058	1	TF1	67580
SRR1781059	1	TF1	39278
SRR1781060	1	TF1	25404
SRR1781061	1	TF1	4912
SRR1781062	1	TF1	52342
SRR1781063	1	TF1	19872
SRR1781064	1	TF1	7668
SRR1781065	1	TF1	13846
SRR1781066	1	TF1	45006
SRR1781067	1	TF1	79730
SRR1781068	1	TF1	35958
SRR1781069	1	TF1	51410
SRR1781070	1	TF1	53568
SRR1781071	1	TF1	56354
SRR1781072	1	TF1	131606
SRR1781073	1	TF1	111386
SRR1781074	1	TF1	108772
SRR1781075	1	TF1	8928
SRR1781076	1	TF1	17080
SRR1781077	1	TF1	49018
SRR1781078	1	TF1	58844
SRR1781079	1	TF1	49206
SRR1781080	1	TF1	8754
SRR1781081	1	TF1	56696
SRR1781082	1	TF1	45280
SRR1781083	1	TF1	10534
SRR1781084	1	TF1	49252
SRR1781085	4	TF1	7800
SRR1781086	1	TF1	501714
SRR1781087	1	TF1	114986
SRR1781088	1	TF1	5458
SRR1781089	1	TF1	14840
SRR1781090	1	TF1	34418
SRR1781091	1	TF1	28738
SRR1781092	1	TF1	68892
SRR1781093	2	TF1	6444
SRR1781094	1	TF1	40286
SRR1781095	1	TF1	36886
SRR1781096	1	TF1	56570
SRR1781097	1	TF1	102604
SRR1781098	1	TF1	76278
SRR1781099	1	TF1	42186
SRR1781100	1	TF1	66862
SRR1781101	1	TF1	162994
SRR1781102	1	TF1	33446
SRR1781103	1	TF1	42030
SRR1781104	1	TF1	45808
SRR1781105	1	TF1	7388
SRR1781106	1	TF1	65954
SRR1781107	1	TF1	46084
SRR1781108	1	TF1	6132
SRR1781109	1	TF1	6232
SRR1781110	1	TF1	8270
SRR1781111	1	TF1	14110
SRR1781112	1	TF1	10262
SRR1781113	1	TF1	71536
SRR1781114	1	TF1	33004
SRR1781115	1	TF1	6654
SRR1781116	1	TF1	33376
SRR1781117	1	TF1	19650
SRR1781118	1	TF1	14912
SRR1781119	1	TF1	48962
SRR1781120	1	TF1	73192
SRR1781121	1	TF1	7368
SRR1781122	1	TF1	154514
SRR1781123	1	HL60	151580
SRR1781124	1	HL60	90260
SRR1781125	1	HL60	43808
SRR1781126	1	HL60	438250
SRR1781127	1	HL60	36720
SRR1781128	1	HL60	42802
SRR1781129	1	HL60	455036
SRR1781130	1	HL60	11946
SRR1781131	1	HL60	47432
SRR1781132	1	HL60	62782
SRR1781133	1	HL60	51212
SRR1781134	1	HL60	15524
SRR1781135	1	HL60	322632
SRR1781136	1	HL60	25582
SRR1781137	1	HL60	40060
SRR1781138	1	HL60	76872
SRR1781139	1	HL60	36084
SRR1781140	1	HL60	32670
SRR1781141	1	HL60	22622
SRR1781142	1	HL60	30512
SRR1781143	1	HL60	32872
SRR1781144	1	HL60	23738
SRR1781145	1	HL60	28672
SRR1781146	1	HL60	27414
SRR1781147	1	HL60	33804
SRR1781148	1	HL60	65830
SRR1781149	1	HL60	37588
SRR1781150	1	HL60	42834
SRR1781151	1	HL60	36754
SRR1781152	1	HL60	545016
SRR1781153	1	HL60	210740
SRR1781154	1	HL60	25658
SRR1781155	1	HL60	63920
SRR1781156	1	HL60	60506
SRR1781157	1	HL60	78196
SRR1781158	1	HL60	47962
SRR1781159	1	HL60	42468
SRR1781160	1	HL60	45730
SRR1781161	1	HL60	73222
SRR1781162	1	HL60	50178
SRR1781163	1	HL60	120312
SRR1781164	1	HL60	665100
SRR1781165	1	HL60	15316
SRR1781166	1	HL60	39186
SRR1781167	1	HL60	80440
SRR1781168	1	HL60	84596
SRR1781169	1	HL60	54494
SRR1781170	1	HL60	60304
SRR1781171	1	HL60	31470
SRR1781172	1	HL60	103472
SRR1781173	1	HL60	3146
SRR1781174	1	HL60	261846
SRR1781175	1	HL60	38898
SRR1781176	1	HL60	30484
SRR1781177	1	HL60	58918
SRR1781178	1	HL60	143748
SRR1781179	1	HL60	22400
SRR1781180	1	HL60	47070
SRR1781181	1	HL60	880498
SRR1781182	1	HL60	158060
SRR1781183	1	HL60	255728
SRR1781184	1	HL60	45110
SRR1781185	1	HL60	37514
SRR1781186	4	HL60	2604
SRR1781187	1	HL60	36308
SRR1781188	1	HL60	144914
SRR1781189	1	HL60	9498
SRR1781190	1	HL60	21274
