Cell	Cluster	CellType	NumofReads	SampleName	JC	Replicates
SRR6358173	2	Memory_T_cell	1552	GSM2880141	C	3
SRR6358174	1	Memory_T_cell	1666	GSM2880142	C	3
SRR6358176	2	Memory_T_cell	6840	GSM2880144	C	3
SRR6358177	2	Memory_T_cell	2282	GSM2880145	C	3
SRR6358178	2	Memory_T_cell	9522	GSM2880146	C	3
SRR6358179	2	Memory_T_cell	11438	GSM2880147	C	3
SRR6358180	2	Memory_T_cell	3402	GSM2880148	C	3
SRR6358181	2	Memory_T_cell	8900	GSM2880149	C	3
SRR6358182	2	Memory_T_cell	2868	GSM2880150	C	3
SRR6358184	2	Memory_T_cell	7542	GSM2880152	C	3
SRR6358186	2	Memory_T_cell	6722	GSM2880154	C	3
SRR6358187	1	Memory_T_cell	1850	GSM2880155	C	3
SRR6358188	2	Memory_T_cell	14434	GSM2880156	C	3
SRR6358189	2	Memory_T_cell	4098	GSM2880157	C	3
SRR6358190	2	Memory_T_cell	10474	GSM2880158	C	3
SRR6358192	2	Memory_T_cell	7050	GSM2880160	C	3
SRR6358195	1	Memory_T_cell	2202	GSM2880163	C	3
SRR6358196	2	Memory_T_cell	1364	GSM2880164	C	3
SRR6358197	2	Memory_T_cell	5878	GSM2880165	C	3
SRR6358198	2	Memory_T_cell	3156	GSM2880166	C	3
SRR6358200	2	Memory_T_cell	2012	GSM2880168	C	3
SRR6358204	1	Memory_T_cell	3124	GSM2880172	C	3
SRR6358205	2	Memory_T_cell	11416	GSM2880173	C	3
SRR6358207	2	Memory_T_cell	7034	GSM2880175	C	3
SRR6358208	2	Memory_T_cell	4090	GSM2880176	C	3
SRR6358210	2	Memory_T_cell	11772	GSM2880178	C	3
SRR6358211	2	Memory_T_cell	4636	GSM2880179	C	3
SRR6358212	2	Memory_T_cell	1478	GSM2880180	C	3
SRR6358213	2	Memory_T_cell	6428	GSM2880181	C	3
SRR6358214	2	Memory_T_cell	11640	GSM2880182	C	3
SRR6358215	2	Memory_T_cell	1348	GSM2880183	C	3
SRR6358216	2	Memory_T_cell	5730	GSM2880184	C	3
SRR6358218	2	Memory_T_cell	6226	GSM2880186	C	3
SRR6358219	1	Memory_T_cell	1688	GSM2880187	C	3
SRR6358220	2	Memory_T_cell	4002	GSM2880188	C	3
SRR6358221	2	Memory_T_cell	28420	GSM2880189	C	3
SRR6358222	1	Memory_T_cell	2792	GSM2880190	C	3
SRR6358223	1	Memory_T_cell	5938	GSM2880191	C	3
SRR6358224	2	Memory_T_cell	5684	GSM2880192	C	3
SRR6358225	2	Memory_T_cell	3208	GSM2880193	C	3
SRR6358226	2	Memory_T_cell	8336	GSM2880194	C	3
SRR6358227	1	Memory_T_cell	2118	GSM2880195	C	3
SRR6358228	2	Memory_T_cell	1822	GSM2880196	C	3
SRR6358229	2	Memory_T_cell	13196	GSM2880197	C	3
SRR6358230	2	Memory_T_cell	2882	GSM2880198	C	3
SRR6358231	2	Memory_T_cell	12862	GSM2880199	C	3
SRR6358234	2	Memory_T_cell	5212	GSM2880202	C	3
SRR6358235	1	Memory_T_cell	1856	GSM2880203	C	3
SRR6358236	2	Memory_T_cell	1170	GSM2880204	C	3
SRR6358237	2	Memory_T_cell	7416	GSM2880205	C	3
SRR6358239	1	Memory_T_cell	1740	GSM2880207	C	3
SRR6358240	2	Memory_T_cell	1004	GSM2880208	C	3
SRR6358242	2	Memory_T_cell	4730	GSM2880210	C	3
SRR6358244	2	Memory_T_cell	3608	GSM2880212	C	3
SRR6358245	2	Memory_T_cell	11798	GSM2880213	C	3
SRR6358247	2	Memory_T_cell	6558	GSM2880215	C	3
SRR6358248	2	Memory_T_cell	1102	GSM2880216	C	3
SRR6358249	2	Memory_T_cell	2622	GSM2880217	C	3
SRR6358250	2	Memory_T_cell	8722	GSM2880218	C	3
SRR6358253	2	Memory_T_cell	1920	GSM2880221	C	4
SRR6358254	2	Memory_T_cell	6210	GSM2880222	C	4
SRR6358255	1	Memory_T_cell	6212	GSM2880223	C	4
SRR6358256	1	Memory_T_cell	1068	GSM2880224	C	4
SRR6358257	1	Memory_T_cell	1222	GSM2880225	C	4
SRR6358262	1	Memory_T_cell	3664	GSM2880230	C	4
SRR6358263	1	Memory_T_cell	3046	GSM2880231	C	4
SRR6358264	1	Memory_T_cell	2012	GSM2880232	C	4
SRR6358265	1	Memory_T_cell	2460	GSM2880233	C	4
SRR6358266	1	Memory_T_cell	1632	GSM2880234	C	4
SRR6358267	1	Memory_T_cell	11474	GSM2880235	C	4
